brewery_type,city,country,id,latitude,longitude,name,phone,postal_code,state,street,tag_list,updated_at,website_url
micro,Tucson,United States,10,32.2504946147872,-111.005452051979,Dragoon Brewing Co,5203293606.0,85745-1214,Arizona,1859 W Grant Rd Ste 111,[],2018-08-23T23:21:40.563Z,http://www.dragoonbrewing.com
micro,Williams,United States,11,35.2500282,-112.18921680000001,Grand Canyon Brewing Company,8005132072.0,86046-2530,Arizona,233 W Route 66,[],2018-08-23T23:21:53.397Z,http://www.grandcanyonbrewingco.com
micro,Lake Havasu City,United States,12,34.4689736300844,-114.34243347788099,Mudshark Brewing Co,9284532981.0,86403-0966,Arizona,210 Swanson Ave,[],2018-08-23T23:22:12.542Z,http://www.mudsharkbrewingco.com
micro,Peoria,United States,13,33.668774497683394,-112.238054093359,Richter Aleworks,6029086553.0,85382-7434,Arizona,8279 W Lake Pleasant Pkwy Ste 110,[],2018-08-23T23:22:29.385Z,http://www.richteraleworks.com
regional,Chandler,United States,14,33.3032436,-111.8423459,SanTan Brewing Co,4809178700.0,85225-7862,Arizona,8 S San Marcos Pl,[],2018-08-23T23:22:33.482Z,http://www.santanbrewing.com
brewpub,Surprise,United States,15,33.63822125,-112.35781382015699,State 48 Brewery,6235841095.0,85374-3873,Arizona,13823 W Bell Rd,[],2018-08-23T23:22:41.468Z,
micro,Phoenix,United States,16,33.516633,-112.0301125,Wren House Brewing Company,6022449184.0,85008-2713,Arizona,2125 N 24th St,[],2018-08-23T23:22:59.255Z,http://www.wrenhousebrewing.com
brewpub,Paragould,United States,17,36.0316358142169,-90.5204797204622,Brick Oven Pizza Co / Brick & Forge Brewing,8702364200.0,72450-6122,Arkansas,2410 Linwood Dr,[],2018-08-23T23:23:05.438Z,http://www.brickovenpizzacompany.com
micro,North Little Rock,United States,18,34.7594277548278,-92.2726892120821,Diamond Bear Brewing Co,5017082739.0,72114-5381,Arkansas,600 N Broadway St,[],2018-08-23T23:23:14.931Z,http://www.diamondbear.com
micro,Little Rock,United States,19,34.742845,-92.260019,Lost Forty Brewing,5013197275.0,72202,Arkansas,501 Byrd St,[],2018-08-23T23:23:24.018Z,http://www.lost40brewing.com/
micro,Mountain Home,United States,20,36.3326432,-92.3599724,Rapp's Barren Brewing Company,8704247288.0,72653-5050,Arkansas,1343 E 9th St,[],2018-08-23T23:23:29.428Z,http://www.rappsbarrenbrewing.com
planning,Lowell,United States,21,36.25535429999999,-94.1307587,Whistleing Springs Brewing Company / Dark Hills Brewery,4792836365.0,72745-9294,Arkansas,,[],2018-08-23T23:23:40.468Z,http://www.darkhillsbrew.com
brewpub,San Luis Obispo,United States,22,35.246727795918396,-120.670637530612,7 Sisters Brewing Co,8058687133.0,93401-7082,California,181 Tank Farm Rd Ste 110,[],2018-08-23T23:23:55.334Z,http://www.7sistersbrewing.com
micro,San Diego,United States,23,33.02391,-117.08575,Abnormal Beer Company,8586182463.0,92127-1649,California,16990 Via Tazon Ste 123,[],2018-08-23T23:24:00.025Z,http://abnormalbeer.co
micro,Livermore,United States,24,37.6783911404914,-121.721097428074,Altamont Beer Works,9254432337.0,94550-3850,California,2402 Research Dr,[],2018-08-23T23:24:16.819Z,http://www.altamontbeerworks.com
brewpub,Auburn,United States,25,38.8961210674875,-121.078958250811,Auburn Alehouse,5308852537.0,95603-5036,California,289 Washington St,[],2018-08-23T23:24:41.928Z,http://www.auburnalehouse.com
micro,Anaheim,United States,26,33.7998367777778,-117.896089444444,Back Street Brewery & Tasting Room,6572364050.0,92805-6726,California,1884 S Santa Cruz St,[],2018-08-23T23:24:45.724Z,http://www.backstreetbrew.com
brewpub,Rohnert Park,United States,27,38.364970299999996,-122.71014050000001,Bear Republic Brewing Co Pub & Restaurant - Lakeside,7075852722.0,94928,California,5000 Roberts Lake Rd,[],2018-08-23T23:25:11.314Z,http://bearrepublic.com
micro,Lemoore,United States,28,36.301467555555604,-119.78471100000002,Bird Street Brewing,5593094649.0,93245-2947,California,242 Heinlen St,[],2018-08-23T23:25:24.815Z,http://www.birdstreetbrewing.com
micro,San Francisco,United States,29,37.780654999999996,-122.3969947,Black Hammer Brewing,4155002273.0,94107-1217,California,544 Bryant St,[],2018-08-23T23:25:33.033Z,http://www.blackhammerbrewing.com
brewpub,Visalia,United States,30,36.3300786,-119.29069609999999,Brewbakers Brewing Co,5596272739.0,93291-6355,California,219 E Main St,[],2018-08-23T23:25:54.818Z,http://www.brewbakersbrewingco.com
planning,Los Angeles,United States,31,34.0536834,-118.24276689999999,Brewery in Planning - Los Angeles,3107796045.0,90049-1620,California,,[],2018-08-23T23:26:04.273Z,
planning,San Diego,United States,32,32.7174209,-117.16277140000001,Brewery in Planning - San Diego,8588882188.0,92121-4396,California,,[],2018-08-23T23:26:06.455Z,http://WWW.gravityheights.com
micro,Hollister,United States,33,36.8535938163265,-121.400836918367,Brewery Twenty Five,8316367640.0,95023,California,106 3rd St,[],2018-08-23T23:26:09.967Z,http://www.brewerytwentyfive.com
micro,San Jose,United States,34,37.3253017839889,-121.88234782361201,Camino Brewing Co LLC,,95113,California,718 S 1st St,[],2018-08-23T23:26:25.248Z,http://www.caminobrewing.com
micro,Chula Vista,United States,35,32.641495,-117.08036899999999,Chula Vista Brewery,6196168806.0,91910-2701,California,294 Third Ave,[],2018-08-23T23:26:42.768Z,http://www.chulavistabrewery.com
micro,Juneau,United States,36,58.301775884301605,-134.407726539973,Barnaby Brewing Company,9074190916.0,99801-1225,Alaska,206 N Franklin St,[],2018-08-23T23:20:39.859Z,http://www.barnabybrew.com
brewpub,Cloverdale,United States,37,38.8053232210103,-123.016572852146,Cloverdale Ale Company's Ruth McGowan's Brewpub,7078949610.0,95425-3701,California,131 E 1st St,[],2018-08-23T23:26:51.276Z,http://www.ruthmcgowansbrewpub.com
micro,Pasadena,United States,38,34.1674435,-118.15955670000001,Craftsman Brewing Co,6262962537.0,91103-2465,California,1260 Lincoln Ave Ste 100,[],2018-08-23T23:27:07.240Z,http://www.craftsmanbrewing.com
planning,Escondido,United States,39,33.1216751,-117.08148490000002,Devil's Potion Brewing Company LLC,7605329091.0,92026-3187,California,,[],2018-08-23T23:27:21.742Z,http://www.devilspotion.com
micro,Los Angeles,United States,40,34.0363873913043,-118.223301521739,Dry River Brewing,2133755235.0,90023-1110,California,671 S Anderson St,[],2018-08-23T23:27:38.017Z,http://www.dryriverbrewing.com
micro,Livermore,United States,41,37.6989500360251,-121.814589292069,Eight Bridges Brewing,9259619160.0,94551-9309,California,332 Earhart Way,[],2018-08-23T23:27:54.121Z,http://www.eightbridgesbrewing.com
micro,San Diego,United States,42,32.755722999999996,-117.12873200000001,Eppig Brewing,6195011840.0,92104-1399,California,3052 El Cajon Blvd Ste 103,[],2018-08-23T23:28:03.844Z,http://www.eppigbrewing.com
micro,Redlands,United States,43,34.060340102630704,-117.217577166632,Escape Craft Brewery,9097133727.0,92373-8053,California,721 Nevada St Ste 401,[],2018-08-23T23:28:04.869Z,http://www.escapecraftbrewery.com
regional,Berkeley,United States,44,37.88157297059,-122.302214696327,Fieldwork Brewing Co,5108981203.0,94710-1247,California,1160 6th St,[],2018-08-23T23:28:19.100Z,http://www.fieldworkbrewing.com
regional,San Francisco,United States,45,37.789461244898,-122.410227755102,Fort Point Beer Company,4159064021.0,94129-1600,California,644 Mason St,[],2018-08-23T23:28:36.026Z,http://www.fortpointbeer.com
micro,Sacramento,United States,46,38.5332279038371,-121.483117319123,Fountainhead Brewing Co,9162284610.0,95822-1412,California,4621 24th St,[],2018-08-23T23:28:38.770Z,http://www.fountainheadbrewingco.com
micro,San Jose,United States,47,37.315251291037,-121.866477333785,Geartooth AleWerks,4084832679.0,95112-5932,California,1635 S 7th St,[],2018-08-23T23:28:45.233Z,http://www.geartoothalewerks.com
micro,Santa Clara,United States,48,37.36253839160821,-121.95031675758601,Golden State Brewery,4087272337.0,95050-2812,California,1252 Memorex Dr,[],2018-08-23T23:28:53.181Z,http://www.goldenstate.beer
regional,Redlands,United States,49,34.0831712,-117.1419134,Hangar 24 Craft Brewery,9093891400.0,92374-1909,California,1710 Sessums Dr,[],2018-08-23T23:29:10.400Z,http://www.hangar24brewery.com
micro,Birmingham,United States,50,33.524521,-86.774322,Avondale Brewing Co,2057775456.0,35222-1932,Alabama,201 41st St S,[],2018-08-23T23:19:57.825Z,http://www.avondalebrewing.com
micro,Tuscaloosa,United States,51,33.1984907123707,-87.5621551272424,Band of Brothers Brewing Company,2052665137.0,35401-4653,Alabama,1605 23rd Ave,[],2018-08-23T23:19:59.462Z,http://www.bandofbrosbrewing.com
micro,Birmingham,United States,52,33.5128492349817,-86.7914000624146,Trim Tab Brewing,2057030536.0,35233-3401,Alabama,2721 5th Ave S,[],2018-08-23T23:20:31.423Z,http://www.trimtabbrewing.com
micro,Huntsville,United States,53,34.7277523,-86.59320140000001,Yellowhammer Brewery,2569755950.0,35805-3046,Alabama,2600 Clinton Ave W,[],2018-08-23T23:20:33.102Z,http://www.yellowhammerbrewery.com
micro,Wasilla,United States,54,61.5752695,-149.41271030000001,Bearpaw River Brewing Co,,99654-7679,Alaska,4605 E Palmer Wasilla Hwy,[],2018-08-23T23:20:40.743Z,http://bearpawriverbrewing.com
micro,Anchorage,United States,55,61.138489354731504,-149.879076042937,King Street Brewing Co,9073365464.0,99515,Alaska,9050 King Street,[],2018-08-23T23:20:57.179Z,http://www.kingstreetbrewing.com
micro,Tucson,United States,56,32.2467372722906,-110.992750525872,1912 Brewing,5202564851.0,85745-1444,Arizona,2045 N Forbes Blvd Ste 105,[],2018-08-23T23:21:11.302Z,http://www.1912brewing.com
contract,Scottsdale,United States,57,33.4972615652174,-111.924474347826,Bad Water Brewing,5207459175.0,85251-3914,Arizona,4216 N Brown Ave,[],2018-08-23T23:21:15.169Z,http://www.badwaterbrewing.com
brewpub,Chandler,United States,58,33.3053455,-111.911126,BJs Restaurant & Brewery - Chandler,4809170631.0,85226-5175,Arizona,3155 W Chandler Blvd,[],2018-08-23T23:21:21.165Z,http://www.bjsrestaurants.com
micro,Tucson,United States,59,32.201608314954,-110.82177857113399,BlackRock Brewers,5202073203.0,85710-6767,Arizona,1664 S Research Loop Ste 200,[],2018-08-23T23:21:23.794Z,http://www.brb.beer
micro,Tucson,United States,60,32.2504946147872,-111.005452051979,Dragoon Brewing Co,5203293606.0,85745-1214,Arizona,1859 W Grant Rd Ste 111,[],2018-08-23T23:21:40.563Z,http://www.dragoonbrewing.com
micro,Williams,United States,61,35.2500282,-112.18921680000001,Grand Canyon Brewing Company,8005132072.0,86046-2530,Arizona,233 W Route 66,[],2018-08-23T23:21:53.397Z,http://www.grandcanyonbrewingco.com
micro,Lake Havasu City,United States,62,34.4689736300844,-114.34243347788099,Mudshark Brewing Co,9284532981.0,86403-0966,Arizona,210 Swanson Ave,[],2018-08-23T23:22:12.542Z,http://www.mudsharkbrewingco.com
micro,Peoria,United States,63,33.668774497683394,-112.238054093359,Richter Aleworks,6029086553.0,85382-7434,Arizona,8279 W Lake Pleasant Pkwy Ste 110,[],2018-08-23T23:22:29.385Z,http://www.richteraleworks.com
regional,Chandler,United States,64,33.3032436,-111.8423459,SanTan Brewing Co,4809178700.0,85225-7862,Arizona,8 S San Marcos Pl,[],2018-08-23T23:22:33.482Z,http://www.santanbrewing.com
brewpub,Surprise,United States,65,33.63822125,-112.35781382015699,State 48 Brewery,6235841095.0,85374-3873,Arizona,13823 W Bell Rd,[],2018-08-23T23:22:41.468Z,
micro,Phoenix,United States,66,33.516633,-112.0301125,Wren House Brewing Company,6022449184.0,85008-2713,Arizona,2125 N 24th St,[],2018-08-23T23:22:59.255Z,http://www.wrenhousebrewing.com
brewpub,Paragould,United States,67,36.0316358142169,-90.5204797204622,Brick Oven Pizza Co / Brick & Forge Brewing,8702364200.0,72450-6122,Arkansas,2410 Linwood Dr,[],2018-08-23T23:23:05.438Z,http://www.brickovenpizzacompany.com
micro,North Little Rock,United States,68,34.7594277548278,-92.2726892120821,Diamond Bear Brewing Co,5017082739.0,72114-5381,Arkansas,600 N Broadway St,[],2018-08-23T23:23:14.931Z,http://www.diamondbear.com
micro,Little Rock,United States,69,34.742845,-92.260019,Lost Forty Brewing,5013197275.0,72202,Arkansas,501 Byrd St,[],2018-08-23T23:23:24.018Z,http://www.lost40brewing.com/
micro,Mountain Home,United States,70,36.3326432,-92.3599724,Rapp's Barren Brewing Company,8704247288.0,72653-5050,Arkansas,1343 E 9th St,[],2018-08-23T23:23:29.428Z,http://www.rappsbarrenbrewing.com
planning,Lowell,United States,71,36.25535429999999,-94.1307587,Whistleing Springs Brewing Company / Dark Hills Brewery,4792836365.0,72745-9294,Arkansas,,[],2018-08-23T23:23:40.468Z,http://www.darkhillsbrew.com
brewpub,San Luis Obispo,United States,72,35.246727795918396,-120.670637530612,7 Sisters Brewing Co,8058687133.0,93401-7082,California,181 Tank Farm Rd Ste 110,[],2018-08-23T23:23:55.334Z,http://www.7sistersbrewing.com
micro,San Diego,United States,73,33.02391,-117.08575,Abnormal Beer Company,8586182463.0,92127-1649,California,16990 Via Tazon Ste 123,[],2018-08-23T23:24:00.025Z,http://abnormalbeer.co
micro,Livermore,United States,74,37.6783911404914,-121.721097428074,Altamont Beer Works,9254432337.0,94550-3850,California,2402 Research Dr,[],2018-08-23T23:24:16.819Z,http://www.altamontbeerworks.com
brewpub,Auburn,United States,75,38.8961210674875,-121.078958250811,Auburn Alehouse,5308852537.0,95603-5036,California,289 Washington St,[],2018-08-23T23:24:41.928Z,http://www.auburnalehouse.com
micro,Anaheim,United States,76,33.7998367777778,-117.896089444444,Back Street Brewery & Tasting Room,6572364050.0,92805-6726,California,1884 S Santa Cruz St,[],2018-08-23T23:24:45.724Z,http://www.backstreetbrew.com
brewpub,Rohnert Park,United States,77,38.364970299999996,-122.71014050000001,Bear Republic Brewing Co Pub & Restaurant - Lakeside,7075852722.0,94928,California,5000 Roberts Lake Rd,[],2018-08-23T23:25:11.314Z,http://bearrepublic.com
micro,Lemoore,United States,78,36.301467555555604,-119.78471100000002,Bird Street Brewing,5593094649.0,93245-2947,California,242 Heinlen St,[],2018-08-23T23:25:24.815Z,http://www.birdstreetbrewing.com
micro,San Francisco,United States,79,37.780654999999996,-122.3969947,Black Hammer Brewing,4155002273.0,94107-1217,California,544 Bryant St,[],2018-08-23T23:25:33.033Z,http://www.blackhammerbrewing.com
brewpub,Visalia,United States,80,36.3300786,-119.29069609999999,Brewbakers Brewing Co,5596272739.0,93291-6355,California,219 E Main St,[],2018-08-23T23:25:54.818Z,http://www.brewbakersbrewingco.com
planning,Los Angeles,United States,81,34.0536834,-118.24276689999999,Brewery in Planning - Los Angeles,3107796045.0,90049-1620,California,,[],2018-08-23T23:26:04.273Z,
planning,San Diego,United States,82,32.7174209,-117.16277140000001,Brewery in Planning - San Diego,8588882188.0,92121-4396,California,,[],2018-08-23T23:26:06.455Z,http://WWW.gravityheights.com
micro,Hollister,United States,83,36.8535938163265,-121.400836918367,Brewery Twenty Five,8316367640.0,95023,California,106 3rd St,[],2018-08-23T23:26:09.967Z,http://www.brewerytwentyfive.com
micro,San Jose,United States,84,37.3253017839889,-121.88234782361201,Camino Brewing Co LLC,,95113,California,718 S 1st St,[],2018-08-23T23:26:25.248Z,http://www.caminobrewing.com
micro,Chula Vista,United States,85,32.641495,-117.08036899999999,Chula Vista Brewery,6196168806.0,91910-2701,California,294 Third Ave,[],2018-08-23T23:26:42.768Z,http://www.chulavistabrewery.com
micro,Juneau,United States,86,58.301775884301605,-134.407726539973,Barnaby Brewing Company,9074190916.0,99801-1225,Alaska,206 N Franklin St,[],2018-08-23T23:20:39.859Z,http://www.barnabybrew.com
brewpub,Cloverdale,United States,87,38.8053232210103,-123.016572852146,Cloverdale Ale Company's Ruth McGowan's Brewpub,7078949610.0,95425-3701,California,131 E 1st St,[],2018-08-23T23:26:51.276Z,http://www.ruthmcgowansbrewpub.com
micro,Pasadena,United States,88,34.1674435,-118.15955670000001,Craftsman Brewing Co,6262962537.0,91103-2465,California,1260 Lincoln Ave Ste 100,[],2018-08-23T23:27:07.240Z,http://www.craftsmanbrewing.com
planning,Escondido,United States,89,33.1216751,-117.08148490000002,Devil's Potion Brewing Company LLC,7605329091.0,92026-3187,California,,[],2018-08-23T23:27:21.742Z,http://www.devilspotion.com
micro,Los Angeles,United States,90,34.0363873913043,-118.223301521739,Dry River Brewing,2133755235.0,90023-1110,California,671 S Anderson St,[],2018-08-23T23:27:38.017Z,http://www.dryriverbrewing.com
micro,Livermore,United States,91,37.6989500360251,-121.814589292069,Eight Bridges Brewing,9259619160.0,94551-9309,California,332 Earhart Way,[],2018-08-23T23:27:54.121Z,http://www.eightbridgesbrewing.com
micro,San Diego,United States,92,32.755722999999996,-117.12873200000001,Eppig Brewing,6195011840.0,92104-1399,California,3052 El Cajon Blvd Ste 103,[],2018-08-23T23:28:03.844Z,http://www.eppigbrewing.com
micro,Redlands,United States,93,34.060340102630704,-117.217577166632,Escape Craft Brewery,9097133727.0,92373-8053,California,721 Nevada St Ste 401,[],2018-08-23T23:28:04.869Z,http://www.escapecraftbrewery.com
regional,Berkeley,United States,94,37.88157297059,-122.302214696327,Fieldwork Brewing Co,5108981203.0,94710-1247,California,1160 6th St,[],2018-08-23T23:28:19.100Z,http://www.fieldworkbrewing.com
regional,San Francisco,United States,95,37.789461244898,-122.410227755102,Fort Point Beer Company,4159064021.0,94129-1600,California,644 Mason St,[],2018-08-23T23:28:36.026Z,http://www.fortpointbeer.com
micro,Sacramento,United States,96,38.5332279038371,-121.483117319123,Fountainhead Brewing Co,9162284610.0,95822-1412,California,4621 24th St,[],2018-08-23T23:28:38.770Z,http://www.fountainheadbrewingco.com
micro,San Jose,United States,97,37.315251291037,-121.866477333785,Geartooth AleWerks,4084832679.0,95112-5932,California,1635 S 7th St,[],2018-08-23T23:28:45.233Z,http://www.geartoothalewerks.com
micro,Santa Clara,United States,98,37.36253839160821,-121.95031675758601,Golden State Brewery,4087272337.0,95050-2812,California,1252 Memorex Dr,[],2018-08-23T23:28:53.181Z,http://www.goldenstate.beer
regional,Redlands,United States,99,34.0831712,-117.1419134,Hangar 24 Craft Brewery,9093891400.0,92374-1909,California,1710 Sessums Dr,[],2018-08-23T23:29:10.400Z,http://www.hangar24brewery.com
regional,San Jose,United States,100,37.315314088194796,-121.866525688348,Hermitage Brewing Company,4082910966.0,95112-5932,California,1627 S 7th St,[],2018-08-23T23:29:21.773Z,http://www.hermitagebrewing.com
proprietor,Stockton,United States,101,37.9577016,-121.29077959999998,High Water Brewing,5304409098.0,95204-2943,California,,[],2018-08-23T23:29:23.046Z,http://www.highwaterbrewing.com
micro,Monrovia,United States,102,34.134155,-118.001973040816,Hop Secret Brewing Co,,91016-4558,California,162 W Pomona Ave,[],2018-08-23T23:29:32.990Z,http://www.hopsecretbrewing.com
micro,Novato,United States,103,38.06828367333871,-122.535014356985,Indian Valley Brewing,4153014983.0,94949-6110,California,14 Commercial Blvd Ste 125,[],2018-08-23T23:29:50.056Z,http://www.indianvalleybrewing.com
micro,,United States,104,,,Copper Hop Brewing Co/Copper Hop Ranch,,,,,[],2018-07-24T01:32:48.873Z,http://www.copperhopranch.weebly.com
planning,,United States,105,,,Border X,,,,,[],2018-07-24T01:32:52.847Z,
micro,West Sacramento,United States,106,38.57198820000001,-121.54111999999999,Jackrabbit Brewing Co,2096120259.0,95691-3514,California,1323 Terminal St,[],2018-08-23T23:58:06.289Z,http://www.jackrabbitbrewingcompany.com
micro,Jamul,United States,107,32.709922999999996,-116.87742,Jamul Brewing Co. - Production Only,6195179829.0,91935-3108,California,3113 Calle Allejandro,[],2018-08-23T23:58:08.091Z,http://www.jamulbrewingco.com
brewpub,Universal City,United States,108,34.132214399999995,-118.35293359999999,Karl Strauss Brewing Co - Universal CityWalk,8187532739.0,91608-1008,California,1000 Universal Studios Blvd,[],2018-08-23T23:58:24.659Z,http://www.karlstrauss.com
brewpub,Laguna Beach,United States,109,33.5427913,-117.7835382,Laguna Beach Brewery and Grille,9494973381.0,92651-2106,California,237 Ocean Ave,[],2018-08-23T23:58:43.812Z,http://www.lagunabeachbrewery.net
brewpub,Susanville,United States,110,40.4055904,-120.63266609999998,Lassen Ale Works @ The Pioneer Saloon,5302577666.0,96130-4372,California,724 Main St,[],2018-08-23T23:58:46.626Z,http://www.lassenaleworks.com
brewpub,San Luis Obispo,United States,111,35.2777052,-120.6631926,Libertine Brewing Company,8057720700.0,93401-3908,California,1234 Broad St,[],2018-08-23T23:58:59.770Z,http://www.libertinebrewing.com
micro,Long Beach,United States,112,33.8044209,-118.21562320000001,Long Beach Beer Lab,5623413659.0,90806-2831,California,518 W Willow St,[],2018-08-23T23:59:07.444Z,http://www.lbbeer.com
micro,San Francisco,United States,113,37.757743700000006,-122.3880818,Magnolia Dogpatch,4158647468.0,94107-3112,California,2505 3rd St,[],2018-08-23T23:59:22.426Z,http://www.magnoliasmokestack.com
brewpub,Larkspur,United States,114,37.9458177,-122.50688740000001,Marin Brewing Co,4154614677.0,94939-1801,California,1809 Larkspur Landing Cir,[],2018-08-23T23:59:26.600Z,http://www.marinbrewing.com
micro,San Diego,United States,115,32.8908008085346,-117.151828378447,Mike Hess Brewing - Miramar,6198876453.0,92126-6357,California,7955 Silverton Ave Ste 1201,[],2018-08-23T23:59:31.275Z,http://www.hessbrewing.com
micro,Auburn,United States,116,38.952499158384,-121.081368585457,Moonraker Brewing Company (Production Facility),5307456816.0,95602,California,2349 Rickenbacker Way,[],2018-08-23T23:59:46.490Z,
micro,San Diego,United States,117,32.912641,-117.230519,New English Brewing Co Inc,6198578023.0,92121-1322,California,11545 Sorrento Valley Rd Ste 305,[],2018-08-24T00:00:00.076Z,http://www.newenglishbrewing.com
micro,Julian,United States,118,33.0762994189637,-116.590154368311,Nickel Beer Co,7607652337.0,92036,California,1485 Hollow Glen Rd,[],2018-08-24T00:00:03.198Z,http://www.nickelbeerco.com
micro,Oceanside,United States,119,33.2136973549748,-117.352957287439,Oceanside Brewing Company,7604537900.0,92058-1232,California,312 Via Del Norte,[],2018-08-24T00:00:15.739Z,http://www.oceansidebrewingco.com
micro,Pomona,United States,120,34.097638082168395,-117.754146518132,Old Stump Brewery,9098609052.0,91767-1854,California,2896 Metropolitan Pl,[],2018-08-24T00:00:31.940Z,http://www.oldstumpbrewery.com
contract,Mountain View,United States,121,37.413267890441105,-122.07176571890601,Palo Alto Brewing Co,,94043-1422,California,1080B La Avenida St,[],2018-08-24T00:00:43.305Z,http://www.paloaltobrewing.com
micro,Pacifica,United States,122,37.6511615833333,-122.49102166666701,Pedro Point Brewing,6502889149.0,94044,California,55A Bill Drake Way,[],2018-08-24T00:00:47.756Z,http://www.pedropointbrewing.com
micro,San Marcos,United States,123,33.141537,-117.14914099999999,Port Brewing Co / The Lost Abbey,8009186816.0,92069-2983,California,155 Mata Way Ste 104,[],2018-08-24T00:01:07.397Z,http://www.portbrewing.com
micro,Suisun City,United States,124,38.24248400000001,-122.04154399999999,Right Eye Brewing Co,7074161347.0,94585,California,301 Spring St,[],2018-08-24T00:01:27.572Z,http://www.righteyebrewing.com
micro,Carlsbad,United States,125,33.133904,-117.269558,Rouleur Brewing Company,4422445111.0,92008-8804,California,5840 El Camino Real Ste 101,[],2018-08-24T00:01:45.520Z,http://www.rouleurbrewing.com
micro,Capitola,United States,126,36.9822865,-121.9405748,Sante Adairius Rustic Ales,8313454867.0,95010-3641,California,103 Kennedy Dr,[],2018-08-24T00:02:11.049Z,http://www.rusticales.com
brewpub,Fresno,United States,127,36.7577440769231,-119.80196215384599,Sequoia Brewing Co - Tower District,5592645521.0,93728-3350,California,777 E Olive Ave,[],2018-08-24T00:02:21.148Z,http://www.sequoiabrewing.com
micro,Sonoma,United States,128,38.294506,-122.47778799999999,Sonoma Springs Brewing Co,7079387422.0,95476-6357,California,19449 Riverside Dr Ste 101,[],2018-08-24T00:02:47.771Z,http://www.sonomaspringsbrewing.com
micro,South Lake Tahoe,United States,129,38.9118004,-120.0074997,South Lake Brewing Company,5305780087.0,96150-6307,California,1920 Lake Tahoe Blvd,[],2018-08-24T00:02:52.173Z,http://www.southlakebeer.com
brewpub,San Rafael,United States,130,37.97327447794649,-122.52865849686,State Room Brewery,4152957929.0,94901-3007,California,1132 4th St,[],2018-08-24T00:03:05.588Z,http://stateroombrewery.com
brewpub,San Diego,United States,131,32.7405237,-117.21157,Stone Brewing World Bistro & Gardens- Liberty Station,6192692200.0,92106-6164,California,2816 Historic Decatur Rd Ste 116,[],2018-08-24T00:03:14.354Z,http://www.stonelibertystation.com
proprietor,San Francisco,United States,132,37.79807485714289,-122.428394714286,Sufferfest Beer Company,4152386431.0,94123-3404,California,1770 UNION STREET,[],2018-08-24T00:03:23.447Z,http://www.sufferfestbeer.com
brewpub,Auburn,United States,133,38.899567384868796,-121.06949555198999,Tap and Vine,5308898463.0,95603,California,907 Lincoln Way,[],2018-08-24T00:03:34.148Z,http://www.tapandvineauburn.com
brewpub,Brea,United States,134,33.917164299999996,-117.90183870000001,TAPS Fish House and Brewery - Brea,7142570101.0,92821-4924,California,101 E Imperial Hwy,[],2018-08-24T00:03:37.619Z,http://www.tapsbrea.com
brewpub,Lodi,United States,135,38.097198,-121.387849646574,The Dancing Fox,2093662634.0,95240-3511,California,203 S School St,[],2018-08-24T00:03:51.456Z,http://www.dancingfoxwinery.com
micro,San Diego,United States,136,32.8957500613992,-117.13746697090599,Thunderhawk Alements,6199524832.0,92126-4355,California,8675 Miralani Dr Ste 100,[],2018-08-24T00:04:11.527Z,http://thunderhawkbeer.com
