name,city,street
12 West Brewing Company - Production Facility,Mesa,
Arizona Craft Brewing,Elgin,"473 Elgin Road, Suite BH"
Beaver Street Brewery,Flagstaff,11 S Beaver St Ste 1
Black Horse Brewery,Show Low,1058 Burton Rd
"Button Brew House, LLC",Tucson,6800 N Camino Martin Ste 160
Catalina Brewing Company,Tucson,6918 N Camino Martin
Copper Brothel Brewery,Sonoita,3112 Hwy 83
Copper Mine Brewing Co,Tucson,3455 S Palo Verde Rd STE 135
Good Bad Ugly Brewing Co. @ Tavern+Bowl Westgate,Glendale,6770 N Sunrise Blvd Ste G100
Gordon Biersch Brewery Restaurant - Tempe,Tempe,420 S Mill Ave Ste 201
Grand Canyon Brewing,Williams,301 N 7th St Ste 101
Brewery in Planning - Sierra Vista,Sierra Vista,
"Brewery in Planning - Yuma, AZ",Yuma,
Coppertop Alehouse and Still Works,Prescott,220 S Montezuma St
Corbett Brewing Company,Tucson,309 E 7th St
Crooked Tooth Brewing Co.,Tucson,228 E 6th St
Deep Roots Brewing,Phoenix,
Desert Monks Brewing Co.,Gilbert,
Flying Basset Brewing,Gilbert,720 W Ray Rd
Four Peaks Brewery & Taproom,Tempe,2401 S Wilson St
Greenwood Brewing LLC,Phoenix,600 N 4th St Apt 210
Huss Brewing,Tempe,1520 W Mineral Rd Ste 102
Insurgent Brewing Co. LLC,Chino Valley,990 N State Route 89 Ste B
Mother Road Brewery and Taproom,Flagstaff,1300 East Butler Ave Ste 200
O.H.S.O. Brewery,Phoenix,10810 N Tatum Blvd Ste 126
Rock Bottom Brewery - Arrowhead,Glendale,7640 W Bell Rd
LazyG Brewhouse,Prescott,
Lumberyard Brewing Co Taproom and Grille,Flagstaff,5 S San Francisco St
"Mother Bunch Brewing, Inc.",Phoenix,825 N 7th St
North Mountain Brewing Co,Phoenix,522 E Dunlap Ave
O.H.S.O. Eatery + NanoBrewery,Phoenix,4900 E Indian School Rd
Pinetop Brewing Company,Lakeside,159 W White Mountain Blvd
Prescott Brewing Co - Production Facility,Prescott,6396 Lear Ln
Roadrunner Abbey Brewing,Chandler,
Ten Fifty Five Brewing,Tucson,3810 E 44th St Ste 315
Wanderlust Brewing Company,Flagstaff,1519 N Main St Ste 102
Bubba Brew's Brewing Company,Bonnerdale,8091 Airport Rd
Core Brewing - Hot Springs,Hot Springs National Park,833 Central Ave
Core Brewing - SoMa,Little Rock,1214 S. Main St
Core Brewing & Distilling Co,Springdale,2470 N Lowell Rd Ste A3
SanTan Brewing Co - Uptown Chandler,Chandler,495 E. Warner Rd.
Science,Phoenix,
Sedona Beer Company,Sedona,
Sentinel Peak Brewing Company,Tucson,4746 E Grant Rd
Sonoran Brewing,Phoenix,3002 E Washington St
State 48 Barrel and Lager House,Scottsdale,
Sun Up Brewing Co.,Phoenix,322 E Camelback Rd
Sun Up Brewing Company 330,Phoenix,
The Perch Pub & Brewery,Chandler,232 S Wall St
Whirling Skirmish Brewing Company,Scottsdale,
Wicked Monkey Brewing Co,Marana,
Bike Rack Brewing Co - 8th Street Market,Bentonville,801 SE 8th St
Blue Canoe Brewing Co,Little Rock,1637 E. 15th Street
Buffalo Brewing Company At The Water Buffalo,Little Rock,106 S Rodney Parham Rd
Columbus House Brewery,Fayetteville,701 W North St
Crisis Brewing LLC,Fayetteville,210 S Archibald Yell Blvd
"The Feinics Company, Inc.",Pollock Pines,
Rendezvous Junction Brewing Company,Rogers,2001 S Bellview Rd Ste 2
101 North Brewing Company,Petaluma,1304 Scott St Ste D
21st Amendment Brewery,San Leandro,2010 Williams St Unit A
Fayetteville Brewing Company,Fayetteville,
Fossil Cove Brewing Co,Fayetteville,1946 N Birch Ave
Gotahold Brewing Company,Eureka Springs,
Hawk Moth Brewing Co,rogers,
Hog Haus Brewing Co,Fayetteville,430 W Dickson St
JJs Brewing Company,fayetteville,3615 n steele blvd
Lost 40 brewing,Little Rock,510 McLean St
Norfork Brewing Company,Norfork,1237 River Ridge Rd
Puritan Brew Company,Fayetteville,205 W Dickson St
Refined Ale Brewery,Little Rock,2221 S Cedar St
Slate Rock Brewing Company,Amity,113 S Main St
SQZBX Brewery,Hot Springs ,236 Ouachita Ave
Tiny Tim's Pizza /West Mountain Brewery,Fayetteville,21 W Mountain St
Vino's Pizza Pub Brewery,Little Rock,923 W 7th St
1850 Brewing Company,Mariposa,
2 Tread Brewing Co,Santa Rosa,1018 Santa Rosa Plz
3 Disciples Brewing,Sebastopol,
411 Broadway Ales,Fresno,
5150 Brewing At The Brass Tap Rocklin,Rocklin,5150 Commons Dr Ste 101
559 Local Brewing,Clovis,608 4th St
6th and La Brea,Los Angeles,600 South La Brea Ave
Acoustic Ales Brewing Experiment,San Diego,1795 Hancock St Ste P1
Adobe Creek Brewing Company,Novato,67 Galli Dr Ste E
